studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,plantedSeedlotStockDbId,plantedSeedlotStockUniquename,plantedSeedlotCurrentCount,plantedSeedlotCurrentWeightGram,plantedSeedlotBoxName,plantedSeedlotTransactionCount,plantedSeedlotTransactionWeight,plantedSeedlotTransactionDescription,availableGermplasmSeedlotUniquenames,FHB plant response - 1-9 response scale|CO_321:0501028,Grain test weight - g/l|CO_321:0001210,Grain yield - kg/ha|CO_321:0001218,Heading time - Julian date (JD)|CO_321:0001233,notes
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97159,17-23874,,plot,254685,Adv_Urb_20-plot111,1,1,111,,,test,,,,,,,,,,,4,773.3934865,6651.787577,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97010,16-8834,,plot,254837,Adv_Urb_20-plot112,1,1,112,,,test,,,,,,,,,,,1,730.9865063,5099.703809,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96790,16-2870,,plot,254635,Adv_Urb_20-plot113,1,1,113,,,test,,,,,,,,,,,6,749.90185,5289.754883,135," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97102,17-18534,,plot,254826,Adv_Urb_20-plot114,1,1,114,,,test,,,,,,,,,,,3,738.0034887,5764.882567,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96636,16-11226,,plot,254678,Adv_Urb_20-plot115,1,1,115,,,test,,,,,,,,,,,5,713.2915074,4434.525051,135," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",100997,US16-IL-063-003,,plot,254687,Adv_Urb_20-plot116,1,1,116,,,test,,,,,,,,,,,5,730.376334,4973.003093,135," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96906,16-36176,,plot,254823,Adv_Urb_20-plot117,1,1,117,,,test,,,,,,,,,,,3,752.9527119,4909.652735,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",100935,US16-IL-061-179,,plot,254783,Adv_Urb_20-plot118,1,1,118,,,test,,,,,,,,,,,8,709.325387,5669.85703,132," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97041,17-12172,,plot,254619,Adv_Urb_20-plot119,1,1,119,,,test,,,,,,,,,,,8,736.1729715,4529.550588,132," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96793,16-28802,,plot,254797,Adv_Urb_20-plot120,1,1,120,,,test,,,,,,,,,,,6,716.3423693,4402.849872,134," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96907,16-36206,,plot,254568,Adv_Urb_20-plot121,1,1,121,,,test,,,,,,,,,,,2,738.0034887,4846.302377,134," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97301,17-8636,,plot,254751,Adv_Urb_20-plot122,1,1,122,,,test,,,,,,,,,,,2,716.9525417,4339.499514,132," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97111,17-19355,,plot,254818,Adv_Urb_20-plot123,1,1,123,,,test,,,,,,,,,,,3,726.7152997,5068.02863,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96920,16-36752,,plot,254817,Adv_Urb_20-plot124,1,1,124,,,test,,,,,,,,,,,2,714.8169384,5733.207388,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97210,17-30219,,plot,254641,Adv_Urb_20-plot125,1,1,125,,,test,,,,,,,,,,,3,716.3423693,5131.378988,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96715,16-20838,,plot,254828,Adv_Urb_20-plot126,1,1,126,,,test,,,,,,,,,,,2,725.8000411,5574.831493,134,"GB (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97282,17-8004,,plot,254880,Adv_Urb_20-plot127,1,1,127,,,test,,,,,,,,,,,1,730.6814202,4497.875409,133," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97113,17-19939,,plot,254644,Adv_Urb_20-plot128,1,1,128,,,test,,,,,,,,,,,3,0,3325.893788,132,"Foliar Disease (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",85081,02-18228,,plot,254854,Adv_Urb_20-plot129,1,1,129,,,test,,,,,,,,,,,2,741.3594367,5036.353451,134," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",101023,US16-IL-064-095,,plot,254773,Adv_Urb_20-plot130,1,1,130,,,test,,,,,,,,,,,3,734.9526268,4592.900946,135," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",100737,US16-IL-064-199,,plot,254701,Adv_Urb_20-plot131,1,1,131,,,test,,,,,,,,,,,1,738.0034887,4592.900946,136,"BM (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97208,17-30178,,plot,254863,Adv_Urb_20-plot132,1,1,132,,,test,,,,,,,,,,,1,719.3932312,4466.20023,134," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97212,17-30322,,plot,254718,Adv_Urb_20-plot133,1,1,133,,,test,,,,,,,,,,,3,725.8000411,4117.773262,135," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96849,16-33368,,plot,254617,Adv_Urb_20-plot134,1,1,134,,,test,,,,,,,,,,,3,739.5289196,5289.754883,139," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",100672,US16-IL-065-113,,plot,254834,Adv_Urb_20-plot135,1,1,135,,,test,,,,,,,,,,,3,748.9865914,4719.601662,135," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96844,16-33235,,plot,254819,Adv_Urb_20-plot136,1,1,136,,,test,,,,,,,,,,,3,731.9017649,4371.174693,133," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97184,17-26648,,plot,254775,Adv_Urb_20-plot137,1,1,137,,,test,,,,,,,,,,,2,741.9696091,5099.703809,134," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97120,17-20426,,plot,254679,Adv_Urb_20-plot138,1,1,138,,,test,,,,,,,,,,,3,722.1390069,5543.156314,135," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",100862,US16-IL-064-137,,plot,254671,Adv_Urb_20-plot139,1,1,139,,,test,,,,,,,,,,,4,748.0713329,4782.95202,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96704,16-19346,,plot,254762,Adv_Urb_20-plot140,1,1,140,,,test,,,,,,,,,,,2,726.4102135,3769.346294,134," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",240793,Pio25R74,,plot,254835,Adv_Urb_20-plot141,1,1,141,,,test,,,,,,,,,,,2,705.3592666,5258.079704,139," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97304,17-8738,,plot,254763,Adv_Urb_20-plot142,1,1,142,,,test,,,,,,,,,,,1,0,3294.21861,132," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97320,17-9832,,plot,254810,Adv_Urb_20-plot143,1,1,143,,,test,,,,,,,,,,,3,700.1728014,4751.276841,139,"mixed (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97299,17-8626,,plot,254724,Adv_Urb_20-plot144,1,1,144,,,test,,,,,,,,,,,3,728.850903,4687.926483,134," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97166,17-24508,,plot,254545,Adv_Urb_20-plot145,1,1,145,,,test,,,,,,,,,,,2,720.613576,4054.422904,133," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97231,17-31616,,plot,254636,Adv_Urb_20-plot146,1,1,146,,,test,,,,,,,,,,,4,719.088145,4592.900946,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97258,17-6863,,plot,254698,Adv_Urb_20-plot147,1,1,147,,,test,,,,,,,,,,,2,735.5627992,4656.251304,135," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",101069,US16-IL-062-031,,plot,254871,Adv_Urb_20-plot148,1,1,148,,,test,,,,,,,,,,,2,747.7662467,4276.149157,133," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97305,17-8749,,plot,254821,Adv_Urb_20-plot149,1,1,149,,,test,,,,,,,,,,,2,715.7321969,4307.824336,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96694,16-18648,,plot,254815,Adv_Urb_20-plot150,1,1,150,,,test,,,,,,,,,,,2,0,3420.919325,130," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96702,16-1922,,plot,254716,Adv_Urb_20-plot151,1,1,151,,,test,,,,,,,,,,,3,717.5627141,5194.729346,138," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97035,17-10964,,plot,254587,Adv_Urb_20-plot152,1,1,152,,,test,,,,,,,,,,,4,712.6813351,4307.824336,134," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",100774,US16-IL-065-094,,plot,254614,Adv_Urb_20-plot153,1,1,153,,,test,,,,,,,,,,,1,760.5798666,4687.926483,135," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97003,16-8605,,plot,254567,Adv_Urb_20-plot154,1,1,154,,,test,,,,,,,,,,,3,718.7830588,4561.225767,133," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96834,16-32727,,plot,254836,Adv_Urb_20-plot155,1,1,155,,,test,,,,,,,,,,,2,705.3592666,5099.703809,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",100893,US16-IL-063-154,,plot,254766,Adv_Urb_20-plot156,1,1,156,,,test,,,,,,,,,,,2,712.3762489,5638.181851,135," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97179,17-25930,,plot,254668,Adv_Urb_20-plot157,1,1,157,,,test,,,,,,,,,,,2,0,3547.620041,132,"mixed GB (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96869,16-34849,,plot,254697,Adv_Urb_20-plot158,1,1,158,,,test,,,,,,,,,,,3,718.4779726,5004.678272,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96752,16-23941,,plot,254601,Adv_Urb_20-plot159,1,1,159,,,test,,,,,,,,,,,3,720.3084898,4782.95202,133,"GB (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97129,17-21447,,plot,254754,Adv_Urb_20-plot160,1,1,160,,,test,,,,,,,,,,,3,701.3931461,4276.149157,134,"mixed (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96756,16-23972,,plot,254735,Adv_Urb_20-plot161,1,1,161,,,test,,,,,,,,,,,2,712.0711627,4529.550588,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97317,17-9339,,plot,254874,Adv_Urb_20-plot162,1,1,162,,,test,,,,,,,,,,,3,712.9864213,5068.02863,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97318,17-9663,,plot,254804,Adv_Urb_20-plot163,1,1,163,,,test,,,,,,,,,,,3,738.3085749,5068.02863,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97239,17-4326,,plot,254665,Adv_Urb_20-plot164,1,1,164,,,test,,,,,,,,,,,4,727.9356445,5163.054167,138," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97220,17-31124,,plot,254589,Adv_Urb_20-plot165,1,1,165,,,test,,,,,,,,,,,3,746.8509881,4497.875409,133," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97161,17-23904,,plot,254703,Adv_Urb_20-plot166,1,1,166,,,test,,,,,,,,,,,2,720.613576,5289.754883,134," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",101013,US16-IL-066-044,,plot,254747,Adv_Urb_20-plot167,1,1,167,,,test,,,,,,,,,,,3,755.3934014,4687.926483,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97005,16-8737,,plot,254827,Adv_Urb_20-plot168,1,1,168,,,test,,,,,,,,,,,2,726.7152997,4814.627199,139," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97163,17-23912,,plot,254707,Adv_Urb_20-plot169,1,1,169,,,test,,,,,,,,,,,3,717.8678003,4212.798799,138," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",100834,US16-IL-062-097,,plot,254807,Adv_Urb_20-plot170,1,1,170,,,test,,,,,,,,,,,3,730.0712478,4497.875409,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97229,17-31541,,plot,254672,Adv_Urb_20-plot201,2,2,201,,,test,,,,,,,,,,,2,723.6644378,5036.353451,139," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97070,17-13938,,plot,254709,Adv_Urb_20-plot202,2,2,202,,,test,,,,,,,,,,,2,731.9017649,5131.378988,139," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",100803,US16-IL-065-076,,plot,254852,Adv_Urb_20-plot203,2,2,203,,,test,,,,,,,,,,,2,749.2916776,4719.601662,138," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97250,17-5643,,plot,254733,Adv_Urb_20-plot204,2,2,204,,,test,,,,,,,,,,,2,694.0710776,5479.805956,141," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1186,Adv_Urb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96720,16-21764,,plot,254786,Adv_Urb_20-plot205,2,2,205,,,test,,,,,,,,,,,2,746.5459019,4497.875409,139," (Operator: jrutkoski, Time: )"
