,names,studyName,germplasmDbId,trait,predicted.value,std.error
49,19-5041,Aug_Urb_20,240240,Grain.yield...bu.ac,76.26204806,7.162935304
50,19-5117,Aug_Urb_20,240244,Grain.yield...bu.ac,70.23640476,7.162935304
51,19-5122,Aug_Urb_20,240245,Grain.yield...bu.ac,88.26625933,7.162935304
52,19-5142,Aug_Urb_20,240248,Grain.yield...bu.ac,68.40046656,7.162935304
53,19-5152,Aug_Urb_20,240249,Grain.yield...bu.ac,87.70135527,7.162935304
54,19-5417,Aug_Urb_20,240257,Grain.yield...bu.ac,78.23921227,7.162935304
55,19-5441,Aug_Urb_20,240259,Grain.yield...bu.ac,71.50743889,7.162935304
56,19-5466,Aug_Urb_20,240261,Grain.yield...bu.ac,77.15647949,7.162935304
57,19-5549,Aug_Urb_20,240262,Grain.yield...bu.ac,71.97819227,7.162935304
58,19-5558,Aug_Urb_20,240263,Grain.yield...bu.ac,72.11941829,7.162935304
59,19-5632,Aug_Urb_20,240264,Grain.yield...bu.ac,84.64145828,7.162935304
60,19-5637,Aug_Urb_20,240265,Grain.yield...bu.ac,74.00243182,7.162935304
61,19-6113,Aug_Urb_20,240273,Grain.yield...bu.ac,78.99241768,7.162935304
62,19-6203,Aug_Urb_20,240274,Grain.yield...bu.ac,59.78567965,7.162935304
63,19-6308,Aug_Urb_20,240280,Grain.yield...bu.ac,85.63004038,7.162935304
64,19-6418,Aug_Urb_20,240281,Grain.yield...bu.ac,68.72999393,7.162935304
65,19-6517,Aug_Urb_20,240283,Grain.yield...bu.ac,71.2720622,7.162935304
66,19-6532,Aug_Urb_20,240285,Grain.yield...bu.ac,75.697144,7.162935304
67,19-6559,Aug_Urb_20,240291,Grain.yield...bu.ac,80.49882851,7.162935304
68,19-6607,Aug_Urb_20,240296,Grain.yield...bu.ac,75.13223994,7.162935304
69,19-6637,Aug_Urb_20,240298,Grain.yield...bu.ac,90.99662895,7.162935304
70,19-6658,Aug_Urb_20,240299,Grain.yield...bu.ac,79.98099979,7.162935304
71,19-6704,Aug_Urb_20,240301,Grain.yield...bu.ac,82.71136941,7.162935304
72,19-6851,Aug_Urb_20,240305,Grain.yield...bu.ac,73.29630175,7.162935304
73,19-6946,Aug_Urb_20,240306,Grain.yield...bu.ac,86.94814985,7.162935304
74,19-7049,Aug_Urb_20,240310,Grain.yield...bu.ac,81.7227873,7.162935304
75,19-7142,Aug_Urb_20,240315,Grain.yield...bu.ac,82.71136941,7.162935304
76,19-7210,Aug_Urb_20,240317,Grain.yield...bu.ac,65.43472025,7.162935304
77,19-7216,Aug_Urb_20,240318,Grain.yield...bu.ac,66.32915168,7.162935304
78,19-7252,Aug_Urb_20,240320,Grain.yield...bu.ac,99.61141586,7.162935304
79,19-7258,Aug_Urb_20,240321,Grain.yield...bu.ac,73.81413047,7.162935304
80,19-7303,Aug_Urb_20,240322,Grain.yield...bu.ac,90.33757421,7.162935304
81,19-7307,Aug_Urb_20,240323,Grain.yield...bu.ac,77.58015753,7.162935304
82,19-7356,Aug_Urb_20,240324,Grain.yield...bu.ac,77.48600685,7.162935304
83,19-7568,Aug_Urb_20,240334,Grain.yield...bu.ac,67.60018581,7.162935304
84,19-7641,Aug_Urb_20,240337,Grain.yield...bu.ac,71.22498686,7.162935304
85,19-7672,Aug_Urb_20,240338,Grain.yield...bu.ac,70.70715814,7.162935304
86,19-7751,Aug_Urb_20,240341,Grain.yield...bu.ac,75.60299332,7.162935304
87,19-7853,Aug_Urb_20,240346,Grain.yield...bu.ac,61.76284386,7.162935304
88,19-7854,Aug_Urb_20,240347,Grain.yield...bu.ac,78.19213693,7.162935304
89,19-8449,Aug_Urb_20,240350,Grain.yield...bu.ac,80.64005452,7.162935304
90,19-8477,Aug_Urb_20,240351,Grain.yield...bu.ac,76.35619874,7.162935304
91,19-8526,Aug_Urb_20,240352,Grain.yield...bu.ac,78.99241768,7.162935304
92,19-8626,Aug_Urb_20,240355,Grain.yield...bu.ac,71.55451423,7.162935304
93,19-8660,Aug_Urb_20,240357,Grain.yield...bu.ac,68.25924055,7.162935304
94,19-8708,Aug_Urb_20,240358,Grain.yield...bu.ac,66.98820641,7.162935304
95,19-8719,Aug_Urb_20,240359,Grain.yield...bu.ac,67.4589598,7.162935304
96,19-8744,Aug_Urb_20,240362,Grain.yield...bu.ac,71.60158957,7.162935304
97,19-8817,Aug_Urb_20,240367,Grain.yield...bu.ac,71.41328821,7.162935304
98,19-8827,Aug_Urb_20,240368,Grain.yield...bu.ac,76.02667137,7.162935304
99,19-8853,Aug_Urb_20,240369,Grain.yield...bu.ac,66.61160371,7.162935304
100,19-8870,Aug_Urb_20,240370,Grain.yield...bu.ac,94.19775195,7.162935304
101,19-8871,Aug_Urb_20,240371,Grain.yield...bu.ac,74.28488385,7.162935304
102,19-8909,Aug_Urb_20,240372,Grain.yield...bu.ac,88.78408805,7.162935304
103,19-8928,Aug_Urb_20,240376,Grain.yield...bu.ac,79.1336437,7.162935304
104,19-9057,Aug_Urb_20,240380,Grain.yield...bu.ac,46.98118763,7.162935304
105,19-9234,Aug_Urb_20,240383,Grain.yield...bu.ac,69.90687739,7.162935304
106,19-9268,Aug_Urb_20,240384,Grain.yield...bu.ac,78.61581497,7.162935304
107,19-9577,Aug_Urb_20,240388,Grain.yield...bu.ac,55.64304988,7.162935304
108,19-9602,Aug_Urb_20,240390,Grain.yield...bu.ac,70.70715814,7.162935304
109,19-9608,Aug_Urb_20,240391,Grain.yield...bu.ac,75.74421934,7.162935304
110,19-9615,Aug_Urb_20,240392,Grain.yield...bu.ac,60.72718642,7.162935304
111,19-9619,Aug_Urb_20,240393,Grain.yield...bu.ac,53.47758432,7.162935304
112,19-9628,Aug_Urb_20,240394,Grain.yield...bu.ac,59.78567965,7.162935304
113,19-9665,Aug_Urb_20,240397,Grain.yield...bu.ac,68.87121994,7.162935304
114,19-9653,Aug_Urb_20,240396,Grain.yield...bu.ac,84.40608159,7.162935304
115,19-10123,Aug_Urb_20,239200,Grain.yield...bu.ac,62.37482326,7.162935304
116,19-10136,Aug_Urb_20,239201,Grain.yield...bu.ac,87.27767722,7.162935304
117,19-10141,Aug_Urb_20,239202,Grain.yield...bu.ac,82.99382144,7.162935304
118,19-10142,Aug_Urb_20,239203,Grain.yield...bu.ac,84.07655422,7.162935304
119,19-10151,Aug_Urb_20,239205,Grain.yield...bu.ac,81.81693798,7.162935304
120,19-10168,Aug_Urb_20,239206,Grain.yield...bu.ac,88.36041,7.162935304
121,19-10169,Aug_Urb_20,239207,Grain.yield...bu.ac,91.09077963,7.162935304
122,19-10173,Aug_Urb_20,239208,Grain.yield...bu.ac,80.82835587,7.162935304
123,19-10236,Aug_Urb_20,239211,Grain.yield...bu.ac,77.43893152,7.162935304
124,19-10243,Aug_Urb_20,239212,Grain.yield...bu.ac,65.81132295,7.162935304
125,19-10259,Aug_Urb_20,239213,Grain.yield...bu.ac,76.9211028,7.162935304
126,19-10849,Aug_Urb_20,239224,Grain.yield...bu.ac,75.17931528,7.162935304
127,19-10856,Aug_Urb_20,239225,Grain.yield...bu.ac,61.85699454,7.162935304
128,19-10904,Aug_Urb_20,239226,Grain.yield...bu.ac,68.91829528,7.162935304
129,19-10905,Aug_Urb_20,239227,Grain.yield...bu.ac,80.07515046,7.162935304
130,19-10906,Aug_Urb_20,239228,Grain.yield...bu.ac,72.68432235,7.162935304
131,19-10925,Aug_Urb_20,239230,Grain.yield...bu.ac,59.50322762,7.162935304
132,19-10956,Aug_Urb_20,239233,Grain.yield...bu.ac,81.62863663,7.162935304
133,19-11163,Aug_Urb_20,239238,Grain.yield...bu.ac,61.38624115,7.162935304
134,19-11216,Aug_Urb_20,239240,Grain.yield...bu.ac,44.15666733,7.162935304
135,19-11316,Aug_Urb_20,239242,Grain.yield...bu.ac,70.18932942,7.162935304
136,19-11339,Aug_Urb_20,239246,Grain.yield...bu.ac,82.05231467,7.162935304
137,19-11354,Aug_Urb_20,239249,Grain.yield...bu.ac,82.14646535,7.162935304
138,19-11374,Aug_Urb_20,239250,Grain.yield...bu.ac,67.88263784,7.162935304
139,19-11401,Aug_Urb_20,239251,Grain.yield...bu.ac,66.65867904,7.162935304
140,19-11460,Aug_Urb_20,239256,Grain.yield...bu.ac,66.79990506,7.162935304
141,19-11463,Aug_Urb_20,239257,Grain.yield...bu.ac,68.91829528,7.162935304
142,19-11466,Aug_Urb_20,239258,Grain.yield...bu.ac,78.14506159,7.162935304
143,19-11541,Aug_Urb_20,239262,Grain.yield...bu.ac,69.71857603,7.162935304
144,19-11550,Aug_Urb_20,239263,Grain.yield...bu.ac,77.01525347,7.162935304
145,19-11645,Aug_Urb_20,239273,Grain.yield...bu.ac,86.99522519,7.162935304
146,19-11647,Aug_Urb_20,239274,Grain.yield...bu.ac,85.44173903,7.162935304
147,19-11737,Aug_Urb_20,239282,Grain.yield...bu.ac,85.01806098,7.162935304
148,19-11770,Aug_Urb_20,239285,Grain.yield...bu.ac,93.30332053,7.162935304
149,19-11773,Aug_Urb_20,239286,Grain.yield...bu.ac,85.159287,7.162935304
150,19-11804,Aug_Urb_20,239287,Grain.yield...bu.ac,92.17351241,7.162935304
151,19-12016,Aug_Urb_20,239290,Grain.yield...bu.ac,65.6230216,7.162935304
152,19-12030,Aug_Urb_20,239292,Grain.yield...bu.ac,66.28207634,7.162935304
153,19-12301,Aug_Urb_20,239298,Grain.yield...bu.ac,56.30210462,7.162935304
154,19-12314,Aug_Urb_20,239299,Grain.yield...bu.ac,67.64726115,7.162935304
155,19-12321,Aug_Urb_20,239300,Grain.yield...bu.ac,70.70715814,7.162935304
156,19-12324,Aug_Urb_20,239301,Grain.yield...bu.ac,67.2235831,7.162935304
157,19-12336,Aug_Urb_20,239302,Grain.yield...bu.ac,73.20215107,7.162935304
158,19-12356,Aug_Urb_20,239303,Grain.yield...bu.ac,74.28488385,7.162935304
159,19-12420,Aug_Urb_20,239307,Grain.yield...bu.ac,72.30771964,7.162935304
160,19-12604,Aug_Urb_20,239315,Grain.yield...bu.ac,95.09218338,7.162935304
161,19-12615,Aug_Urb_20,239316,Grain.yield...bu.ac,98.57575842,7.162935304
162,19-12622,Aug_Urb_20,239317,Grain.yield...bu.ac,89.01946474,7.162935304
163,19-12636,Aug_Urb_20,239319,Grain.yield...bu.ac,65.29349423,7.162935304
164,19-12659,Aug_Urb_20,239320,Grain.yield...bu.ac,74.04950716,7.162935304
165,19-12749,Aug_Urb_20,239326,Grain.yield...bu.ac,94.0094506,7.162935304
166,19-12839,Aug_Urb_20,239336,Grain.yield...bu.ac,67.97678852,7.162935304
167,19-12830,Aug_Urb_20,239334,Grain.yield...bu.ac,85.06513632,7.162935304
168,19-12834,Aug_Urb_20,239335,Grain.yield...bu.ac,79.60439708,7.162935304
169,19-12841,Aug_Urb_20,239337,Grain.yield...bu.ac,82.52306805,7.162935304
170,19-12849,Aug_Urb_20,239339,Grain.yield...bu.ac,81.53448595,7.162935304
171,19-12921,Aug_Urb_20,239344,Grain.yield...bu.ac,67.97678852,7.162935304
172,19-12926,Aug_Urb_20,239345,Grain.yield...bu.ac,80.1222258,7.162935304
173,19-12933,Aug_Urb_20,239346,Grain.yield...bu.ac,71.83696626,7.162935304
174,19-12935,Aug_Urb_20,239347,Grain.yield...bu.ac,74.94393859,7.162935304
175,19-13048,Aug_Urb_20,239352,Grain.yield...bu.ac,72.54309633,7.162935304
176,19-13062,Aug_Urb_20,239355,Grain.yield...bu.ac,78.99241768,7.162935304
177,19-13147,Aug_Urb_20,239356,Grain.yield...bu.ac,65.34056957,7.162935304
178,19-13155,Aug_Urb_20,239357,Grain.yield...bu.ac,80.02807512,7.162935304
179,19-13268,Aug_Urb_20,239369,Grain.yield...bu.ac,68.25924055,7.162935304
180,19-13267,Aug_Urb_20,239368,Grain.yield...bu.ac,71.2720622,7.162935304
181,19-13274,Aug_Urb_20,239370,Grain.yield...bu.ac,66.42330235,7.162935304
182,19-13276,Aug_Urb_20,239371,Grain.yield...bu.ac,74.4731852,7.162935304
183,19-13277,Aug_Urb_20,239372,Grain.yield...bu.ac,88.26625933,7.162935304
184,19-13278,Aug_Urb_20,239373,Grain.yield...bu.ac,63.78708341,7.162935304
185,19-13335,Aug_Urb_20,239380,Grain.yield...bu.ac,78.28628761,7.162935304
186,19-13347,Aug_Urb_20,239382,Grain.yield...bu.ac,78.5216643,7.162935304
187,19-13349,Aug_Urb_20,239383,Grain.yield...bu.ac,68.21216521,7.162935304
188,19-13357,Aug_Urb_20,239385,Grain.yield...bu.ac,80.7342052,7.162935304
189,19-13361,Aug_Urb_20,239386,Grain.yield...bu.ac,78.23921227,7.162935304
190,19-13406,Aug_Urb_20,239387,Grain.yield...bu.ac,73.53167844,7.162935304
191,19-13414,Aug_Urb_20,239388,Grain.yield...bu.ac,73.76705513,7.162935304
192,19-13418,Aug_Urb_20,239389,Grain.yield...bu.ac,63.4104807,7.162935304
193,19-13430,Aug_Urb_20,239390,Grain.yield...bu.ac,81.76986264,7.162935304
194,19-13431,Aug_Urb_20,239391,Grain.yield...bu.ac,61.33916582,7.162935304
195,19-13433,Aug_Urb_20,239392,Grain.yield...bu.ac,67.69433649,7.162935304
196,19-13434,Aug_Urb_20,239393,Grain.yield...bu.ac,89.34899211,7.162935304
197,19-13447,Aug_Urb_20,239394,Grain.yield...bu.ac,78.14506159,7.162935304
198,19-13451,Aug_Urb_20,239396,Grain.yield...bu.ac,90.8083276,7.162935304
199,19-13509,Aug_Urb_20,239400,Grain.yield...bu.ac,76.59157543,7.162935304
200,19-13654,Aug_Urb_20,239405,Grain.yield...bu.ac,64.77566551,7.162935304
201,19-13676,Aug_Urb_20,239406,Grain.yield...bu.ac,83.3233488,7.162935304
202,19-13706,Aug_Urb_20,239407,Grain.yield...bu.ac,76.6857261,7.162935304
203,19-13707,Aug_Urb_20,239408,Grain.yield...bu.ac,83.88825286,7.162935304
204,19-13713,Aug_Urb_20,239409,Grain.yield...bu.ac,77.34478084,7.162935304
205,19-13722,Aug_Urb_20,239410,Grain.yield...bu.ac,74.19073317,7.162935304
206,19-13736,Aug_Urb_20,239411,Grain.yield...bu.ac,73.53167844,7.162935304
207,19-13737,Aug_Urb_20,239412,Grain.yield...bu.ac,83.74702685,7.162935304
208,19-13744,Aug_Urb_20,239413,Grain.yield...bu.ac,72.21356896,7.162935304
209,19-13748,Aug_Urb_20,239414,Grain.yield...bu.ac,84.5473076,7.162935304
210,19-13752,Aug_Urb_20,239415,Grain.yield...bu.ac,79.79269843,7.162935304
211,19-13778,Aug_Urb_20,239416,Grain.yield...bu.ac,76.12082204,7.162935304
212,19-13801,Aug_Urb_20,239417,Grain.yield...bu.ac,89.20776609,7.162935304
213,19-13837,Aug_Urb_20,239419,Grain.yield...bu.ac,76.40327407,7.162935304
214,19-13905,Aug_Urb_20,239422,Grain.yield...bu.ac,67.2235831,7.162935304
215,19-13925,Aug_Urb_20,239423,Grain.yield...bu.ac,74.52026054,7.162935304
216,19-13936,Aug_Urb_20,239424,Grain.yield...bu.ac,76.02667137,7.162935304
217,19-13942,Aug_Urb_20,239425,Grain.yield...bu.ac,72.16649363,7.162935304
218,19-13948,Aug_Urb_20,239426,Grain.yield...bu.ac,71.46036355,7.162935304
219,19-13961,Aug_Urb_20,239431,Grain.yield...bu.ac,80.1222258,7.162935304
220,19-13965,Aug_Urb_20,239432,Grain.yield...bu.ac,65.34056957,7.162935304
221,19-13972,Aug_Urb_20,239433,Grain.yield...bu.ac,76.63865077,7.162935304
222,19-13978,Aug_Urb_20,239435,Grain.yield...bu.ac,71.93111693,7.162935304
223,19-14221,Aug_Urb_20,239442,Grain.yield...bu.ac,62.09237123,7.162935304
224,19-14226,Aug_Urb_20,239443,Grain.yield...bu.ac,70.51885679,7.162935304
225,19-14355,Aug_Urb_20,239447,Grain.yield...bu.ac,69.436124,7.162935304
226,19-14359,Aug_Urb_20,239448,Grain.yield...bu.ac,69.436124,7.162935304
227,19-14441,Aug_Urb_20,239451,Grain.yield...bu.ac,71.55451423,7.162935304
228,19-14461,Aug_Urb_20,239453,Grain.yield...bu.ac,62.1865219,7.162935304
229,19-14471,Aug_Urb_20,239454,Grain.yield...bu.ac,66.32915168,7.162935304
230,19-14457,Aug_Urb_20,239452,Grain.yield...bu.ac,71.2720622,7.162935304
231,19-14513,Aug_Urb_20,239457,Grain.yield...bu.ac,70.61300746,7.162935304
232,19-14605,Aug_Urb_20,239460,Grain.yield...bu.ac,84.5473076,7.162935304
233,19-14617,Aug_Urb_20,239462,Grain.yield...bu.ac,73.43752776,7.162935304
234,19-14641,Aug_Urb_20,239464,Grain.yield...bu.ac,82.61721873,7.162935304
235,19-14658,Aug_Urb_20,239466,Grain.yield...bu.ac,78.94534234,7.162935304
236,19-14713,Aug_Urb_20,239469,Grain.yield...bu.ac,68.96537062,7.162935304
237,19-14717,Aug_Urb_20,239470,Grain.yield...bu.ac,80.59297918,7.162935304
238,19-14845,Aug_Urb_20,239475,Grain.yield...bu.ac,64.6344395,7.162935304
239,19-14856,Aug_Urb_20,239476,Grain.yield...bu.ac,73.29630175,7.162935304
240,19-14925,Aug_Urb_20,239477,Grain.yield...bu.ac,54.04248838,7.162935304
241,19-14933,Aug_Urb_20,239479,Grain.yield...bu.ac,67.17650777,7.162935304
242,19-15009,Aug_Urb_20,239483,Grain.yield...bu.ac,72.59017167,7.162935304
243,19-15014,Aug_Urb_20,239484,Grain.yield...bu.ac,62.04529589,7.162935304
244,19-15017,Aug_Urb_20,239485,Grain.yield...bu.ac,58.42049484,7.162935304
245,19-15033,Aug_Urb_20,239486,Grain.yield...bu.ac,69.57735002,7.162935304
246,19-15150,Aug_Urb_20,239489,Grain.yield...bu.ac,65.29349423,7.162935304
247,19-15159,Aug_Urb_20,239490,Grain.yield...bu.ac,88.03088264,7.162935304
248,19-15201,Aug_Urb_20,239492,Grain.yield...bu.ac,72.40187032,7.162935304
249,19-15209,Aug_Urb_20,239494,Grain.yield...bu.ac,83.84117753,7.162935304
250,19-15228,Aug_Urb_20,239497,Grain.yield...bu.ac,74.94393859,7.162935304
251,19-15231,Aug_Urb_20,239498,Grain.yield...bu.ac,66.79990506,7.162935304
252,19-15254,Aug_Urb_20,239499,Grain.yield...bu.ac,78.94534234,7.162935304
253,19-15317,Aug_Urb_20,239500,Grain.yield...bu.ac,65.38764491,7.162935304
254,19-15327,Aug_Urb_20,239501,Grain.yield...bu.ac,82.05231467,7.162935304
255,19-15330,Aug_Urb_20,239502,Grain.yield...bu.ac,80.26345181,7.162935304
256,19-15333,Aug_Urb_20,239503,Grain.yield...bu.ac,66.28207634,7.162935304
257,19-15338,Aug_Urb_20,239504,Grain.yield...bu.ac,84.26485557,7.162935304
258,19-15344,Aug_Urb_20,239505,Grain.yield...bu.ac,82.71136941,7.162935304
259,19-15466,Aug_Urb_20,239506,Grain.yield...bu.ac,62.98680266,7.162935304
260,19-15472,Aug_Urb_20,239507,Grain.yield...bu.ac,76.26204806,7.162935304
261,19-15477,Aug_Urb_20,239508,Grain.yield...bu.ac,62.32774792,7.162935304
262,19-15712,Aug_Urb_20,239511,Grain.yield...bu.ac,56.25502928,7.162935304
263,19-15728,Aug_Urb_20,239512,Grain.yield...bu.ac,83.27627347,7.162935304
264,19-15730,Aug_Urb_20,239513,Grain.yield...bu.ac,65.24641889,7.162935304
265,19-15751,Aug_Urb_20,239517,Grain.yield...bu.ac,81.15788324,7.162935304
266,19-15928,Aug_Urb_20,239518,Grain.yield...bu.ac,75.46176731,7.162935304
267,19-15936,Aug_Urb_20,239520,Grain.yield...bu.ac,72.8726237,7.162935304
268,19-16059,Aug_Urb_20,239531,Grain.yield...bu.ac,83.9353282,7.162935304
269,19-16064,Aug_Urb_20,239532,Grain.yield...bu.ac,73.20215107,7.162935304
270,19-16068,Aug_Urb_20,239533,Grain.yield...bu.ac,70.56593212,7.162935304
271,19-16107,Aug_Urb_20,239535,Grain.yield...bu.ac,74.28488385,7.162935304
272,19-16129,Aug_Urb_20,239537,Grain.yield...bu.ac,76.63865077,7.162935304
273,19-16136,Aug_Urb_20,239538,Grain.yield...bu.ac,67.4589598,7.162935304
274,19-16139,Aug_Urb_20,239539,Grain.yield...bu.ac,93.44454654,7.162935304
275,19-16142,Aug_Urb_20,239540,Grain.yield...bu.ac,83.9353282,7.162935304
276,19-16145,Aug_Urb_20,239541,Grain.yield...bu.ac,67.69433649,7.162935304
277,19-16152,Aug_Urb_20,239542,Grain.yield...bu.ac,86.52447181,7.162935304
278,19-16176,Aug_Urb_20,239543,Grain.yield...bu.ac,77.86260956,7.162935304
279,19-16202,Aug_Urb_20,239545,Grain.yield...bu.ac,69.20074731,7.162935304
280,19-16209,Aug_Urb_20,239548,Grain.yield...bu.ac,71.74281558,7.162935304
281,19-16235,Aug_Urb_20,239549,Grain.yield...bu.ac,67.36480912,7.162935304
282,19-16279,Aug_Urb_20,239554,Grain.yield...bu.ac,87.23060188,7.162935304
283,19-16306,Aug_Urb_20,239555,Grain.yield...bu.ac,67.88263784,7.162935304
284,19-16312,Aug_Urb_20,239556,Grain.yield...bu.ac,56.58455665,7.162935304
285,19-16325,Aug_Urb_20,239557,Grain.yield...bu.ac,75.93252069,7.162935304
286,19-16335,Aug_Urb_20,239558,Grain.yield...bu.ac,75.50884265,7.162935304
287,19-16339,Aug_Urb_20,239559,Grain.yield...bu.ac,72.35479498,7.162935304
288,19-16364,Aug_Urb_20,239562,Grain.yield...bu.ac,75.17931528,7.162935304
289,19-16368,Aug_Urb_20,239563,Grain.yield...bu.ac,84.92391031,7.162935304
290,19-16371,Aug_Urb_20,239564,Grain.yield...bu.ac,73.4846031,7.162935304
291,19-16376,Aug_Urb_20,239565,Grain.yield...bu.ac,71.6486649,7.162935304
292,19-16404,Aug_Urb_20,239566,Grain.yield...bu.ac,73.86120581,7.162935304
293,19-16421,Aug_Urb_20,239569,Grain.yield...bu.ac,71.13083618,7.162935304
294,19-16533,Aug_Urb_20,239571,Grain.yield...bu.ac,58.60879619,7.162935304
295,19-16605,Aug_Urb_20,239572,Grain.yield...bu.ac,57.43191274,7.162935304
296,19-16636,Aug_Urb_20,239573,Grain.yield...bu.ac,49.28787921,7.162935304
297,19-16737,Aug_Urb_20,239575,Grain.yield...bu.ac,57.05531003,7.162935304
298,19-16848,Aug_Urb_20,239577,Grain.yield...bu.ac,82.28769136,7.162935304
299,19-16856,Aug_Urb_20,239578,Grain.yield...bu.ac,85.86541707,7.162935304
300,19-16860,Aug_Urb_20,239579,Grain.yield...bu.ac,85.91249241,7.162935304
301,19-16878,Aug_Urb_20,239580,Grain.yield...bu.ac,66.14085032,7.162935304
302,19-16953,Aug_Urb_20,239581,Grain.yield...bu.ac,83.9353282,7.162935304
303,19-17009,Aug_Urb_20,239582,Grain.yield...bu.ac,83.46457482,7.162935304
304,19-17038,Aug_Urb_20,239583,Grain.yield...bu.ac,68.77706927,7.162935304
305,19-17041,Aug_Urb_20,239584,Grain.yield...bu.ac,71.22498686,7.162935304
306,19-17043,Aug_Urb_20,239585,Grain.yield...bu.ac,71.17791152,7.162935304
307,19-17048,Aug_Urb_20,239586,Grain.yield...bu.ac,69.6715007,7.162935304
308,19-17051,Aug_Urb_20,239587,Grain.yield...bu.ac,76.59157543,7.162935304
309,19-17053,Aug_Urb_20,239589,Grain.yield...bu.ac,67.2235831,7.162935304
310,19-17212,Aug_Urb_20,239593,Grain.yield...bu.ac,67.78848716,7.162935304
